1725058327574,cbs,1,11,jaber,3075898887,3075898887,0,1280x720-22,232626,0.973061,11,0,2200,5312,644545,0.000,0.000
1725058327798,cbs,1,11,jaber,3075898887,3075898887,180180,1920x1080-24,303514,0.980933,73,0,2200,12513,4018578,2.002,0.000
1725058327885,cbs,1,11,jaber,3075898887,3075898887,360360,1920x1080-22,696255,0.981578,78,0,2200,9081,5129185,4.004,0.309
1725058328068,cbs,1,11,jaber,3075898887,3075898887,540540,1920x1080-22,662177,0.982160,106,0,2200,14967,7630257,5.990,0.309
1725058328201,cbs,1,11,jaber,3075898887,3075898887,720720,1920x1080-22,570122,0.983488,106,0,2200,23338,6261883,7.886,0.309
1725058328340,cbs,1,11,jaber,3075898887,3075898887,900900,1920x1080-22,579192,0.982026,96,0,2200,16797,7514065,9.754,0.309
1725058328466,cbs,1,11,jaber,3075898887,3075898887,1081080,1920x1080-22,617335,0.981678,90,0,2200,15877,7604673,11.630,0.309
1725058328603,cbs,1,11,jaber,3075898887,3075898887,1261260,1920x1080-22,649152,0.980742,118,0,2200,17330,7169375,13.493,0.309
1725058329348,cbs,1,11,jaber,3075898887,3075898887,1441440,1920x1080-22,610976,0.981026,106,0,2200,13847,6205406,14.751,0.309
1725058331349,cbs,1,11,jaber,3075898887,3075898887,1621620,1920x1080-22,1064663,0.981525,102,0,2200,16574,6449118,14.903,0.309
1725058333352,cbs,1,11,jaber,3075898887,3075898887,1801800,1920x1080-22,603682,0.985021,100,0,2200,14571,1851035,14.964,0.309
1725058335597,cbs,1,11,jaber,3075898887,3075898887,1981980,1920x1080-22,586554,0.985394,90,0,2200,14631,7792737,14.942,0.309
1725058337879,cbs,1,11,jaber,3075898887,3075898887,2162160,1920x1080-22,584665,0.985451,108,0,2200,11000,5659423,14.983,0.309
1725058340108,cbs,1,11,jaber,3075898887,3075898887,2342340,1920x1080-22,591356,0.985453,130,0,2200,16463,5967240,14.785,0.309
1725058342345,cbs,1,11,jaber,3075898887,3075898887,2522520,1920x1080-22,594042,0.985546,134,0,2200,19785,6140091,14.853,0.309
1725058344849,cbs,1,11,jaber,3075898887,3075898887,2702700,1920x1080-22,598350,0.985534,156,0,2200,11194,5204124,14.820,0.309
1725058346849,cbs,1,11,jaber,3075898887,3075898887,2882880,1920x1080-22,583821,0.985564,134,0,2200,19905,7054094,14.890,0.309
1725058349100,cbs,1,11,jaber,3075898887,3075898887,3063060,1920x1080-22,740626,0.984631,148,0,2200,10885,4961936,14.984,0.309
1725058351352,cbs,1,11,jaber,3075898887,3075898887,3243240,1920x1080-22,737085,0.981298,180,0,2200,20048,7129132,14.915,0.309
1725058353597,cbs,1,11,jaber,3075898887,3075898887,3423420,1920x1080-22,689553,0.980427,164,0,2200,19995,7156796,14.892,0.309
1725058355598,cbs,1,11,jaber,3075898887,3075898887,3603600,1920x1080-22,656351,0.981399,150,0,2200,12137,5117209,14.950,0.309
1725058357848,cbs,1,11,jaber,3075898887,3075898887,3783780,1920x1080-22,594042,0.982204,132,0,2200,27481,3181832,14.815,0.309
1725058359848,cbs,1,11,jaber,3075898887,3075898887,3963960,1920x1080-22,579748,0.983696,148,0,2200,11953,5881377,14.875,0.309
