1724830808721,cbs,1,11,jaber,3575683964,3575683964,0,0.973061,2.002,0.000
1724830809510,cbs,1,11,jaber,3575683964,3575683964,180180,0.975478,3.708,1.183
1724830810724,cbs,1,11,jaber,3575683964,3575683964,360360,0.977558,4.495,1.183
1724830812320,cbs,1,11,jaber,3575683964,3575683964,540540,0.978752,4.901,1.183
1724830813421,cbs,1,11,jaber,3575683964,3575683964,720720,0.980091,5.803,1.183
1724830815199,cbs,1,11,jaber,3575683964,3575683964,900900,0.982026,6.062,1.183
1724830817221,cbs,1,11,jaber,3575683964,3575683964,1081080,0.981678,6.132,1.183
1724830819205,cbs,1,11,jaber,3575683964,3575683964,1261260,0.980742,6.382,1.183
1724830821071,cbs,1,11,jaber,3575683964,3575683964,1441440,0.981026,6.714,1.183
1724830823257,cbs,1,11,jaber,3575683964,3575683964,1621620,0.978032,6.657,1.183
1724830825058,cbs,1,11,jaber,3575683964,3575683964,1801800,0.985021,7.405,1.183
1724830826772,cbs,1,11,jaber,3575683964,3575683964,1981980,0.985394,7.765,1.183
1724830829111,cbs,1,11,jaber,3575683964,3575683964,2162160,0.985451,7.825,1.183
1724830830787,cbs,1,11,jaber,3575683964,3575683964,2342340,0.985453,8.230,1.183
1724830832632,cbs,1,11,jaber,3575683964,3575683964,2522520,0.985546,8.674,1.183
1724830834444,cbs,1,11,jaber,3575683964,3575683964,2702700,0.985534,8.933,1.183
1724830836424,cbs,1,11,jaber,3575683964,3575683964,2882880,0.985564,9.222,1.183
1724830838672,cbs,1,11,jaber,3575683964,3575683964,3063060,0.984631,9.026,1.183
1724830840791,cbs,1,11,jaber,3575683964,3575683964,3243240,0.981298,9.255,1.183
